path,name,extension,size_bytes,size_mb,modified,directory,is_hidden
/Users/steven/Documents/json/_misnamed_rtf/2025-07-31_22-49-19.json,2025-07-31_22-49-19.json,.json,656,0.0,2025-10-26 02:22:26,/Users/steven/Documents/json/_misnamed_rtf,False
/Users/steven/Documents/json/_misnamed_rtf/2025-03-16_23-03-13.json,2025-03-16_23-03-13.json,.json,656,0.0,2025-10-26 02:22:36,/Users/steven/Documents/json/_misnamed_rtf,False
/Users/steven/Documents/json/_misnamed_rtf/2025-09-11_10-21-08.json,2025-09-11_10-21-08.json,.json,656,0.0,2025-10-26 02:22:20,/Users/steven/Documents/json/_misnamed_rtf,False
/Users/steven/Documents/json/_misnamed_rtf/2025-10-17_00-01-58.json,2025-10-17_00-01-58.json,.json,656,0.0,2025-10-26 02:22:16,/Users/steven/Documents/json/_misnamed_rtf,False
/Users/steven/Documents/json/_misnamed_rtf/2025-03-28_17-38-52.json,2025-03-28_17-38-52.json,.json,656,0.0,2025-10-26 02:22:35,/Users/steven/Documents/json/_misnamed_rtf,False
/Users/steven/Documents/json/_misnamed_rtf/2025-09-11_23-39-21.json,2025-09-11_23-39-21.json,.json,656,0.0,2025-10-26 02:22:20,/Users/steven/Documents/json/_misnamed_rtf,False
/Users/steven/Documents/json/_misnamed_rtf/2025-09-06_14-43-00.json,2025-09-06_14-43-00.json,.json,656,0.0,2025-10-26 02:22:21,/Users/steven/Documents/json/_misnamed_rtf,False
/Users/steven/Documents/json/_misnamed_rtf/2025-10-14_14-47-24.json,2025-10-14_14-47-24.json,.json,656,0.0,2025-10-26 02:22:17,/Users/steven/Documents/json/_misnamed_rtf,False
/Users/steven/Documents/json/_misnamed_rtf/2025-09-04_07-05-54.json,2025-09-04_07-05-54.json,.json,656,0.0,2025-10-26 02:22:22,/Users/steven/Documents/json/_misnamed_rtf,False
/Users/steven/Documents/json/_misnamed_rtf/2025-03-03_01-37-53.json,2025-03-03_01-37-53.json,.json,656,0.0,2025-10-26 02:22:37,/Users/steven/Documents/json/_misnamed_rtf,False
/Users/steven/Documents/json/_misnamed_rtf/2025-09-11_17-40-25.json,2025-09-11_17-40-25.json,.json,656,0.0,2025-10-26 02:22:20,/Users/steven/Documents/json/_misnamed_rtf,False
/Users/steven/Documents/json/_misnamed_rtf/2025-09-11_18-13-11.json,2025-09-11_18-13-11.json,.json,656,0.0,2025-10-26 02:22:20,/Users/steven/Documents/json/_misnamed_rtf,False
/Users/steven/Documents/json/_misnamed_rtf/2025-09-11_17-59-13.json,2025-09-11_17-59-13.json,.json,656,0.0,2025-10-26 02:22:20,/Users/steven/Documents/json/_misnamed_rtf,False
/Users/steven/Documents/json/_misnamed_rtf/2025-09-06_13-58-16.json,2025-09-06_13-58-16.json,.json,656,0.0,2025-10-26 02:22:21,/Users/steven/Documents/json/_misnamed_rtf,False
/Users/steven/Documents/json/_misnamed_rtf/2025-09-04_13-55-41.json,2025-09-04_13-55-41.json,.json,656,0.0,2025-10-26 02:22:21,/Users/steven/Documents/json/_misnamed_rtf,False
/Users/steven/Documents/json/_misnamed_rtf/2025-06-01_03-28-43.json,2025-06-01_03-28-43.json,.json,656,0.0,2025-10-26 02:22:27,/Users/steven/Documents/json/_misnamed_rtf,False
/Users/steven/Documents/json/_misnamed_rtf/2025-08-03_14-16-08.json,2025-08-03_14-16-08.json,.json,656,0.0,2025-10-26 02:22:25,/Users/steven/Documents/json/_misnamed_rtf,False
/Users/steven/Documents/json/_misnamed_rtf/2025-03-01_06-10-36.json,2025-03-01_06-10-36.json,.json,656,0.0,2025-10-26 02:22:37,/Users/steven/Documents/json/_misnamed_rtf,False
/Users/steven/Documents/json/_misnamed_rtf/2025-05-01_02-42-44.json,2025-05-01_02-42-44.json,.json,656,0.0,2025-10-26 02:22:31,/Users/steven/Documents/json/_misnamed_rtf,False
/Users/steven/Documents/json/_misnamed_rtf/2025-09-11_18-03-47.json,2025-09-11_18-03-47.json,.json,656,0.0,2025-10-26 02:22:20,/Users/steven/Documents/json/_misnamed_rtf,False
/Users/steven/Documents/json/_misnamed_rtf/2025-09-11_17-45-31.json,2025-09-11_17-45-31.json,.json,656,0.0,2025-10-26 02:22:20,/Users/steven/Documents/json/_misnamed_rtf,False
/Users/steven/Documents/json/_misnamed_rtf/2025-09-06_13-44-34.json,2025-09-06_13-44-34.json,.json,656,0.0,2025-10-26 02:22:21,/Users/steven/Documents/json/_misnamed_rtf,False
/Users/steven/Documents/json/_misnamed_rtf/2025-08-02_22-21-59.json,2025-08-02_22-21-59.json,.json,656,0.0,2025-10-26 02:22:25,/Users/steven/Documents/json/_misnamed_rtf,False
