original_path,new_path,category,size_bytes,is_duplicate
/Users/steven/Documents/HTML/misc/Prompt 14 125bfa4f8fe74136a0be4bdcc0d8d8c9.html,/Users/steven/Documents/HTML/organized/ai-prompts/Prompt 14 125bfa4f8fe74136a0be4bdcc0d8d8c9.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/Prompt 12 a6d571c10ec84bf58616a4575bcaddc7.html,/Users/steven/Documents/HTML/organized/ai-prompts/Prompt 12 a6d571c10ec84bf58616a4575bcaddc7.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/funny-dont-go-here-script.html,/Users/steven/Documents/HTML/organized/ai-prompts/funny-dont-go-here-script.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/Prompt 21 261b2fe6ba3b4f2986dbcf0277bfc072.html,/Users/steven/Documents/HTML/organized/ai-prompts/Prompt 21 261b2fe6ba3b4f2986dbcf0277bfc072.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/Tarot Card Midjourney Prompts Graphic by MadeByAI  0c62cdf1c9584af997e8fc928d088182.html,/Users/steven/Documents/HTML/organized/ai-prompts/Tarot Card Midjourney Prompts Graphic by MadeByAI  0c62cdf1c9584af997e8fc928d088182.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/Prompt 10 23ddba57294b411f82a882abeb05d621.html,/Users/steven/Documents/HTML/organized/ai-prompts/Prompt 10 23ddba57294b411f82a882abeb05d621.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/PromptHero 59659d708f234304a849b8ab26a24be9.html,/Users/steven/Documents/HTML/organized/ai-prompts/PromptHero 59659d708f234304a849b8ab26a24be9.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/Prompt 32 299dfb4c62204758a21123d06c66d88f.html,/Users/steven/Documents/HTML/organized/ai-prompts/Prompt 32 299dfb4c62204758a21123d06c66d88f.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/Prompt 51 37922fe3ae324d11ac05b531e65d08a4.html,/Users/steven/Documents/HTML/organized/ai-prompts/Prompt 51 37922fe3ae324d11ac05b531e65d08a4.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/Create_Hogwarts_Quiz_MP3.html,/Users/steven/Documents/HTML/organized/ai-prompts/Create_Hogwarts_Quiz_MP3.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/Prompt 31 e46b0624641943f18e16cbd505c6c216.html,/Users/steven/Documents/HTML/organized/ai-prompts/Prompt 31 e46b0624641943f18e16cbd505c6c216.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/Prompt 39 38e74a42c057427ea4101dd3a41c3ce2.html,/Users/steven/Documents/HTML/organized/ai-prompts/Prompt 39 38e74a42c057427ea4101dd3a41c3ce2.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/Prompt 17 43838baa530244439b74e91ee7f8660d.html,/Users/steven/Documents/HTML/organized/ai-prompts/Prompt 17 43838baa530244439b74e91ee7f8660d.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/Raccoon Image Prompts (2) 16f36221d8b281549012dc3437d04929.html,/Users/steven/Documents/HTML/organized/ai-prompts/Raccoon Image Prompts (2) 16f36221d8b281549012dc3437d04929.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/Prompt 37 945a639712004ff2a6f2e0c9aeaa3cb5.html,/Users/steven/Documents/HTML/organized/ai-prompts/Prompt 37 945a639712004ff2a6f2e0c9aeaa3cb5.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/  Prompts Manager for Content Creator 4a90bcdc4d1f470b959df57e1a1bf883.html,/Users/steven/Documents/HTML/organized/ai-prompts/  Prompts Manager for Content Creator 4a90bcdc4d1f470b959df57e1a1bf883.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/Prompt 25 c473fb29267544b3ae5b3492079b5436.html,/Users/steven/Documents/HTML/organized/ai-prompts/Prompt 25 c473fb29267544b3ae5b3492079b5436.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/Prompt 32 7d609db3e85f43b4b55c66d9603757df.html,/Users/steven/Documents/HTML/organized/ai-prompts/Prompt 32 7d609db3e85f43b4b55c66d9603757df.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/Prompt 15 b3eec01e7e7046a8b3a300ec9026fce9.html,/Users/steven/Documents/HTML/organized/ai-prompts/Prompt 15 b3eec01e7e7046a8b3a300ec9026fce9.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/Dallelist 797acb3cab8e4524ba6df1649fbaadca.html,/Users/steven/Documents/HTML/organized/ai-prompts/Dallelist 797acb3cab8e4524ba6df1649fbaadca.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/Prompt 9 f729301c97fa48e1bfb474a896c4643a.html,/Users/steven/Documents/HTML/organized/ai-prompts/Prompt 9 f729301c97fa48e1bfb474a896c4643a.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/Prompt 14 1f108c273bdc45c9924a05511436eb70.html,/Users/steven/Documents/HTML/organized/ai-prompts/Prompt 14 1f108c273bdc45c9924a05511436eb70.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/Prompt 26 8e3d43d5ab5c43cb813450937b541a3b.html,/Users/steven/Documents/HTML/organized/ai-prompts/Prompt 26 8e3d43d5ab5c43cb813450937b541a3b.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/zomBoTs_birth_p2025-2025-05-01.html,/Users/steven/Documents/HTML/organized/ai-prompts/zomBoTs_birth_p2025-2025-05-01.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/text-comparison-examples-41e943e0.html,/Users/steven/Documents/HTML/organized/ai-prompts/text-comparison-examples-41e943e0.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/Image_Design_Services-2025-05-04.html,/Users/steven/Documents/HTML/organized/ai-prompts/Image_Design_Services-2025-05-04.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/Prompt 51 4b0cb988d6904d99aee638481500a807.html,/Users/steven/Documents/HTML/organized/ai-prompts/Prompt 51 4b0cb988d6904d99aee638481500a807.html,ai-prompts,0,False
/Users/steven/Documents/HTML/misc/ai-cli-toolkit.html,/Users/steven/Documents/HTML/organized/ai-prompts/ai-cli-toolkit.html,ai-prompts,0,False
